Req ID,Domain,Target surface (amended IA),Requirement (improved ask),Why it matters (stakeholder intent),Source,Ask evolution (AGL amendment),Acceptance criteria,Status (code-verified),What exists today (evidence),Gap to close,Data dependency,Build phase,Priority,Effort
HOME-01,Home,Home,"Home is a single screen answering 'where do I stand & what needs me': wealth split, ranked attention queue, one-line read of every domain, open-items strip","One screen = the daily habit loop entry; everything else is one click deep","Walkthrough p3-4","AGL: replace generic 'Your money now / Obligations & future' groups with specific widgets","All four elements present on /; every line links onward",Partial,"Single screen exists: net-worth hero + US/India split, AI 'Needs attention' card, KPI row, allocation, goals card, accounts preview (src/app/(app)/page.tsx:194-595). Trend is mock NET_WORTH_HISTORY rescaled; holdings seeded from mock","No one-line read of performance/cash-flow/plan/legacy domains; no open-items strip; trend history is mock","Depends on PERF/CF/OI summaries existing",1-Spine,P1,M
HOME-02,Home,Global (TopNav),"ALL wealth figures viewable consistently in ONE currency via a global USD<->INR(Cr) toggle - no mixed currencies anywhere","NRIs move wealth back and forth; they want to see it one way","AGL review","AGL amends walkthrough (which showed India natively in Cr): one consistent toggle instead","Toggle switches every money figure app-wide incl. compliance strings",Partial,"Global 3-mode toggle (USD/INR/Lakhs-Cr) via CurrencyToggle + Money + formatAmount works for most figures (src/components/CurrencyToggle.tsx, src/lib/currency.ts:38-43)","11 hardcoded formatUSD call sites ignore the toggle (home delta chip page.tsx:234, assets/debt line 243-245, FBAR KPI 392/410, accounts 145/287/552/1311/1342, copilot 450) + USD-only compliance strings (portfolio.ts:344-350). FX rate is hardcoded 95 (CurrencyContext.tsx:21) despite sidebar 'live' badge","Live FX feed (F-02)",1-Spine,P0,S
HOME-03,Home,Home,"Needs-attention queue ranked by urgency; each item deep-links to the page/workflow that resolves it","'Scan the queue; every line is a link to the page that can resolve it' - the loop's entry point","Walkthrough p3-4; Comparison slide 4","Comparison doc: ranking not visually obvious today","Visible rank order; per-item href to resolving surface",Partial,"Top-3 items rendered; AI route ranks most-urgent-first (api/insights/route.ts:89) grounded in live holdings; rule-based fallback is fixed-order (portfolio.ts:296-341)","No deep links - ComplianceRow renders text only, Insight type has no href (page.tsx:791-820); only generic 'Ask Copilot' link; no Tax page exists to link to","Needs destination pages (Tax, Accounts anchors)",1-Spine,P0,S
HOME-04,Home,Home,"Per-goal widgets on home: name, progress, status chip each","AGL: '3 of 4 on track' is not helpful - show each goal","AGL review","Replaces walkthrough's aggregate goals one-liner","Each goal shows name + progress + on-track status",Partial,"Goals card renders up to 3 goals with name, progress %, bar, amounts, target year, live linked-account resolution (page.tsx:527-595, resolveGoal goals.ts:102-105)","No status indicator per goal (accent is category color, not on-track/at-risk); goals are localStorage + mock seed, no DB persistence","Needs GOAL-05 status engine",1-Spine,P1,S
HOME-05,Home,Home,"Domain summary widgets: assets & liabilities, performance (real return), debt (total+rate), cash flow (net/mo), tax (unresolved), plan (next window), legacy (gap)","Home should read the whole book in one glance","Walkthrough p3; AGL review","AGL: specific widgets over generic group labels","Each domain has a live one-line read linking to its page",Partial,"Fragments only: assets-minus-debt subtext (page.tsx:241-247), compliance items in attention card, TopNav worst-level pill (TopNav.tsx:28-64)","No performance/debt-rate/cash-flow/tax-count/plan-window/legacy widgets; those domains mostly lack pages to summarize","Depends on PERF-01, DEBT-05, CF-01, TAX-03/04, PLAN, LEG existing",2-State,P1,M
HOME-06,Home,Onboarding + Home,"First-time users get a guided setup path - alerts alone only make sense to experienced users","First-session activation cannot depend on pre-existing expertise","AGL review","New ask added by AGL","New user is walked through profile -> accounts -> India -> first goal",Built,"Mandatory Onboarding form gated by AppGate (AppGate.tsx:22-30, Onboarding.tsx), then 'Finish setting up' DataCompletion checklist with 4 tracked steps + progress ring + per-step links (DataCompletion.tsx:68-143)","Minor: 'Complete your profile' links to '/' since no profile-edit page exists","None",1-Spine,Done,-
HOME-07,Home,Every page (global shell),"Copilot as a floating chat icon lower-right on EVERY page, opening with suggested-queries popup","Standard chatbot affordance; copilot is a layer not a destination","AGL review; Capabilities p8","AGL kills the 'Ask about your money...' bar from walkthrough p3","Floating icon on all pages; opens panel with suggested queries",Divergent,"Copilot is a dedicated page only (copilot/page.tsx) with suggested prompt chips; 'Ask Copilot' links navigate to it; no floating widget in app shell (AppGate.tsx:32-48)","What ships is exactly the 'only a dedicated page' pattern the reviewer rejected; build global floating panel reusing existing useCopilotStream + ProposalCard pipeline","None - pipeline already exists",1-Spine,P1,M
HOME-08,Home,Global shell,"Clear persistent navigation to all pages","AGL: 'not clear how to navigate to other pages' (deck had none)","AGL review","-","All real pages reachable; no dead entries",Built,"Persistent grouped Sidebar (Sidebar.tsx:30-54) + TopNav on all signed-in pages","Caveat: 'Compliance' and 'Deadlines' nav entries are muted placeholders pointing to '/' - remove or build the pages","None",1-Spine,Done,S
HOME-09,Home,Home,"Open-items strip: open count, in-progress count, next step of top item ('Convert NRO is 2 of 4 steps done')","Surfaces the loop's state without leaving Home","Walkthrough p3","-","Strip shows counts + top item step progress, links to Open items page",Missing,"Nothing exists - no open-item/task/step model in code or prisma schema; closest are setup-only DataCompletion checklist and TopNav pill","Entire strip; requires OI-01 task model first","Needs OI task model",1-Spine,P1,M
HOME-10,Home,Home,"Headline change carries FX attribution: 'up 3.2% - 2.4pts was rupee movement, real 0.8%'","The number-one NRI misreading is calling FX movement growth","Walkthrough p3-4","-","Every change figure decomposes real vs currency",Missing,"Plain MoM delta from mock NET_WORTH_HISTORY (page.tsx:140-141, 227-238); FX is constant 95 with no history; FxRate table stores single rate, no series","Requires FX-rate history + balance history + decomposition math + copy","Needs F-02 (FX history) + F-03 (snapshots)",2-State,P1,M
