Domain,Surface / Page,Feature,What it does,Data source,Also shown on (cross-surface),Status,Enhancement needed
POSITION,Dashboard (/),Net worth hero,"Large net worth figure with month-over-month change badge (+$ / +%)",Computed from live holdings via netWorth(); MoM change rescaled from mock NET_WORTH_HISTORY,Accounts summary strip,Needs enhancement,Month-over-month change uses hardcoded history curve; make it real from snapshots
POSITION,Dashboard (/),US / India / Global filter,Toggle net worth view between all / US-only / India-only,Computed,Accounts tabs,Done,-
POSITION,Dashboard (/),Geographic split bar + badges,US vs India proportion bar with clickable $ and % badges,Computed (usPct/inPct),Accounts summary donut,Done,-
POSITION,Dashboard (/),12-month trend sparkline,Net-worth trend line over 12 months + live USD-INR rate footer,Hardcoded NET_WORTH_HISTORY rescaled to current value,-,Needs enhancement,Wire to real BalanceSnapshot history instead of mock curve
POSITION,Dashboard (/),Asset allocation donut,Allocation by asset class (cash / investments / retirement / real estate / FDs / mutual funds / other) across both countries,Computed via byAssetClass(),Accounts (per-country donut); Analyzer (bucket donut),Done,-
POSITION,Dashboard (/),Accounts preview,Top 5 US and top 5 India accounts with balances and PFIC badges,Live holdings,Accounts page (full),Done,-
POSITION,Dashboard (/),Data completeness card,Setup checklist: profile / US account / India account / goal,Computed from context,-,Done,-
POSITION,Accounts (/accounts),Summary strip,"Net worth / total balance, US%/India% split with donut",Computed netWorth(),Dashboard hero,Done,-
POSITION,Accounts (/accounts),Filter tabs + search,Filter by All / US / India; search by nickname/institution/type,Client filter,-,Done,-
POSITION,Accounts (/accounts),Per-country account ledger,Grouped US then India; institution monogram; type label; instrument detail summary,Live holdings,Dashboard preview,Done,"Add category/type sub-grouping & sorting (reviewer wants Quicken-style grouping: Banking/Investments/Assets/Liabilities)"
POSITION,Accounts (/accounts),Per-country asset-class donut,Breakdown by asset class within each country group,Computed byAssetClass(),Dashboard,Done,-
POSITION,Accounts (/accounts),Freshness / last-updated per row,Show how stale each account is (Today / 3 months / 14 months),SCHEMA SUPPORTS IT (lastSyncedAt) but NOT rendered,-,Missing,"Biggest Accounts gap per reviewers - surface lastSyncedAt age on each row; prioritise oldest+largest"
POSITION,Accounts (/accounts),Add account chooser,US bank (Plaid) / India (Account Aggregator - coming soon) / Manual,Live,-,Needs enhancement,India Account Aggregator + Setu + PDF/CAS ingestion still stubbed
POSITION,Accounts (/accounts),Manual add form,"Rich instrument details: NRE/NRO scheme, interest rate, TDS, maturity, compounding, FCNR currency, SGB toggle",Live,Copilot AI-add,Done,-
POSITION,Data model,Account schema,"jurisdiction (US/IN), dual currency (USD+INR), 19 asset + 10 liability types, isPfic, source, lastSyncedAt, plaidAccountId, setuConsentId",Prisma,-,Done,-
POSITION,Data model,BalanceSnapshot,Daily balance history for FBAR peak & trend,Prisma (exists),-,Needs enhancement,Model exists but no sync job populates it
PERFORMANCE,(no page),Real vs currency return split,"Separate reported return into real growth vs FX/rupee movement",NOT BUILT,-,Missing,"Core differentiator per walkthrough (slide 7-8) & every reviewer - build a Performance page: reported / currency effect / real return"
PERFORMANCE,(no page),By-side returns,US local / India local / India after FX,NOT BUILT,-,Missing,Requires cost-basis + historical FX; no data yet
PERFORMANCE,Analyzer (/analyzer),Expected return (forward),Per-bucket & blended expected return used for projections,Computed from allocation + per-account override,Copilot; Goals,Done,This is forward-looking projection - not realised performance
PERFORMANCE,Dashboard (/),Concentration warning,Employer-stock / India-drift concentration flag,PARTIAL - India allocation vs 25% target shown; employer-stock concentration NOT computed,-,Needs enhancement,Standardise concentration alerts across pages (reviewer note); add employer-stock single-point-of-failure flag
LIABILITIES,Accounts (/accounts),Debt / liability tracking,"Full liability types both countries; red Debt badge; nested under secured asset; equity calc",Live holdings (kind=liability),Dashboard net worth (assets - debt),Done,"Reviewer wants debt merged into Accounts - already is. Good."
LIABILITIES,Accounts (/accounts),Loan-to-asset linking,Mortgage/HELOC nested under property with equity row,Live (securedAgainstId),-,Done,-
LIABILITIES,(no page),Debt analysis page,"Total debt, blended rate, monthly service, prepay-vs-invest, currency sensitivity",NOT BUILT,-,Missing,"Walkthrough Debt page (slide 9) + reviewer: consolidate prepay/FX-mismatch analysis on an analysis page"
LIABILITIES,Data model,Debt detail fields,APR / term / amortization schedule,PARTIAL - only details.minPayment + interestRate,-,Needs enhancement,No amortization/payoff modeling
CASH FLOW,Budget (/budget),Monthly income,Single USD income field,Client BudgetContext,Analyzer (contributions); Copilot,Needs enhancement,No breakdown by source or country; single USD figure only
CASH FLOW,Budget (/budget),Expense categories,"Add/edit/remove named categories with color, amount, % of income, stacked bar",Client BudgetContext,-,Done,-
CASH FLOW,Budget (/budget),Investing line feeds Analyzer,Categories matching /invest/ tagged FORECAST and flow into projection,Computed,Analyzer projection,Done,-
CASH FLOW,(no page / partial),In / Out / Net monthly,Combined income vs spend net figure,PARTIAL - remaining = income - spent only,-,Needs enhancement,No true cross-border In/Out/Net panel
CASH FLOW,(no page),Cross-border money movement,"Today's rate vs 12-mo average, repatriation headroom, LRS used, family support",NOT BUILT (schema has lrsUsedUsd),-,Missing,"Walkthrough border panel (slide 11) - the NRI differentiator; ComplianceData.lrsUsedUsd exists but unused"
