Issue Type,Summary,Epic Name,Epic Link,Priority,Story Points,Status,Labels,Requirement ID,Depends On,Description
Epic,Accounts — the master ledger,Accounts Master Ledger,,Highest,,To Do,accounts,ACC,,"The single source of truth for everything a user owns and owes across US + India. Every other page is a read-only view over this. Goal of Step 1: make Accounts persist to a real database, sync live, and show data freshness/provenance — turning the current localStorage demo into a trustworthy ledger."
Story,Account persistence API (Postgres-backed CRUD),,Accounts Master Ledger,Highest,13,To Do,accounts;backend;foundation,ACC-01 / F-01,,"Build /api/accounts with GET/POST/PATCH/DELETE, auth-scoped to userId, writing to the existing Account Prisma model. This is the data layer the whole app is missing. AC: authenticated CRUD works; rows scoped per user; maps Holding<->Account (dual currency, kind, isPfic, source, securedAgainstId, details JSON, lastSyncedAt); validation + error handling; no cross-user reads. Sub-tasks: define API contract; POST create; GET list; PATCH update; DELETE (with secured-loan unlink); zod validation; unit tests."
Story,Migrate Accounts from localStorage to server + demo becomes opt-in,,Accounts Master Ledger,Highest,8,To Do,accounts;frontend;foundation,ACC-01 / F-01 / X-22,Account persistence API (Postgres-backed CRUD),"Rewire AccountsContext to load/mutate via the new API instead of localStorage. New real users start EMPTY; MOCK_ACCOUNTS becomes an explicit 'Load demo data' toggle. AC: add/edit/delete persist across reload and devices; optimistic UI with rollback on error; loading/empty states; seed data no longer auto-loads for real users; SSR-safe. Sub-tasks: fetch on mount; convert addManual/addLinked/updateAccount/removeAccount to API calls; optimistic updates; demo-mode flag; remove localStorage seeding."
Story,Plaid link creates real Account rows,,Accounts Master Ledger,High,5,To Do,accounts;plaid;backend,ACC-08,Account persistence API (Postgres-backed CRUD),"On successful Plaid link, create Account rows (source=plaid, plaidAccountId, balances, lastSyncedAt) instead of only returning them to the client. AC: linked US accounts appear in DB and ledger; re-linking dedupes by plaidAccountId; balances stored in USD; type mapped from Plaid subtype. Sub-tasks: extend exchange-public-token to upsert Account rows; map Plaid subtype->accountType; dedupe on plaidAccountId; set lastSyncedAt."
Story,Balance sync endpoint + snapshots,,Accounts Master Ledger,High,8,To Do,accounts;plaid;foundation,ACC-08 / F-03,Plaid link creates real Account rows,"Add /api/plaid/sync (and a manual 'Refresh' action) that pulls current balances via stored PlaidItem, updates Account.balance + lastSyncedAt, and writes a daily BalanceSnapshot row. AC: refresh updates balances + timestamp; snapshot rows accumulate; handles requires_reauth; pulls Liabilities product for loan rates where available. Sub-tasks: decrypt access token server-side; accountsGet + liabilitiesGet; update balances; write BalanceSnapshot; reauth handling; manual refresh button."
Story,Live FX rate service (shared dependency),,Accounts Master Ledger,High,5,To Do,accounts;foundation;fx,F-02,,"Replace the hardcoded USD/INR rate + fake 'live' badge with a real fetched rate cached in the FxRate table, refreshed on a schedule. Scoped here because every account balance conversion depends on it. AC: rate fetched from a provider and stored; served to client; graceful fallback to last-known; genuine last-updated timestamp (no fake 'live'). Sub-tasks: pick provider; fetch+cache route; scheduled refresh; wire CurrencyContext to it; remove fake badge."
Story,Freshness / last-updated on every account row,,Accounts Master Ledger,High,5,To Do,accounts;frontend,ACC-02,Balance sync endpoint + snapshots,"Render each row's data age from lastSyncedAt ('Today', '3 months', '14 months') and colour stale rows. The single clearest gap reviewers flagged. AC: every row shows relative age; stale (>threshold) visually distinct; Plaid=auto-fresh vs manual=user-updated distinction; group header shows 'All live' / 'X stale'. Sub-tasks: relative-time formatter; row + header UI; staleness thresholds; manual 'mark updated' action."
Story,Guidance: refresh oldest and largest first,,Accounts Master Ledger,Medium,3,To Do,accounts;frontend,ACC-03,Freshness / last-updated on every account row,"A prompt that ranks stale accounts by age x size and tells the user what to update first (e.g. 'Your fund data is oldest and second-largest — refreshing it moves net worth most'). AC: computes staleness x balance impact; surfaces top suggestion; links to that account's refresh. Sub-tasks: ranking logic; insight card; deep-link to refresh."
Story,Assets − Debt = Net Worth as three explicit figures,,Accounts Master Ledger,Medium,3,To Do,accounts;frontend,ACC-04,Account persistence API (Postgres-backed CRUD),"Present the summary as three equal, clearly labelled numbers (Assets / Less debt / Net worth) rather than one figure with a caption. AC: three-figure layout; debt shown even when small; matches walkthrough. Sub-tasks: redesign summary strip; handle zero-debt case."
Story,Type/category grouping + sorting for 30+ accounts,,Accounts Master Ledger,Medium,5,To Do,accounts;frontend,ACC-06,Account persistence API (Postgres-backed CRUD),"Add collapsible category folders (Banking / Investments / Retirement / Real estate / Liabilities) and sort/filter controls so a user with 30+ accounts can navigate. Supplements the existing country tabs + search. AC: accounts group by category within/under country; collapsible; sort by balance/name/freshness; scales to 30+ rows. Sub-tasks: category taxonomy; collapsible group UI; sort controls; persist collapse state."
Story,Category summaries for assets AND liabilities,,Accounts Master Ledger,Medium,3,To Do,accounts;frontend,ACC-07,Type/category grouping + sorting for 30+ accounts,"Extend the per-country breakdown to summarise liabilities by category too (not just lump all debt into one number). AC: liability categories summarised alongside asset classes; totals reconcile to net worth. Sub-tasks: extend byAssetClass to liabilities; UI for liability summary."
Story,Source + confidence indicator per number,,Accounts Master Ledger,Medium,3,To Do,accounts;frontend,ACC-11,Freshness / last-updated on every account row,"Show where each number came from (Plaid / manual / CAS / estimate) and a confidence signal, so users know how much to trust each figure. AC: every row shows a provenance badge; low-confidence/estimate rows flagged; consistent with freshness. Sub-tasks: provenance model on Account; badge UI; confidence rules."
Story,CAS statement upload → India holdings ingestion,,Accounts Master Ledger,High,13,To Do,accounts;india;ai,ACC-09,Migrate Accounts from localStorage to server + demo becomes opt-in,"Let users upload a CAMS/KFintech CAS PDF to auto-import Indian mutual-fund holdings (the biggest India asset class). AC: PDF parsed to holdings; user reviews/confirms before save; funds flagged PFIC; source=cas + confidence set; failures degrade to manual. Sub-tasks: upload UI; PDF extraction (AI-assisted); mapping to Account rows; review/confirm step; PFIC flagging; error handling."
Story,Ownership / title mapping per asset,,Accounts Master Ledger,Medium,5,To Do,accounts;estate,ACC-10,Account persistence API (Postgres-backed CRUD),"Capture whose name each asset is in (self / joint / family member) — foundational data the future Legacy page needs. AC: ownership field on Account; editable in add/edit form; joint owners supported; surfaced on row. Sub-tasks: schema field; form UI; display; feeds later Legacy work."
